title,state_name,ideology,year,city,lat,lon
Gallows Tree Wotansvolk Alliance,Kansas,Neo-Volkisch,2015,Wichita,37.6897,-97.3442
Geauga Constitutional Council,Ohio,General Hate,2015,Mayfield Heights,41.5175,-81.4534
Generations With Vision,Colorado,Anti-LGBT,2015,Elizabeth,39.3611,-104.6061
H.L. Mencken Club,Pennsylvania,White Nationalist,2015,Elizabethtown,40.1534,-76.5991
The Hated,New Jersey,Racist Skinhead,2015,Toms River,39.9931,-74.1856
Heritage and Destiny,Maryland,White Nationalist,2015,Silver Spring,39.0028,-77.0207
Heritage Connection,Arkansas,Hate Music,2015,Harrison,36.2437,-93.1197
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Illinois,Anti-LGBT,2015,Downers Grove,41.7949,-88.017
Holy Nation of Odin,California,General Hate,2015,Kingsburg,36.5242,-119.5608
IHS Press,Virginia,Radical Traditional Catholicism,2015,Norfolk,36.8945,-76.259
Illinois Family Institute,Illinois,Anti-LGBT,2015,Carol Stream,41.9183,-88.1309
Imperial Klans of America Knights of the KKK,Kentucky,Ku Klux Klan,2015,Dawson Springs,37.174,-87.688
In the Spirit of Chartres Committee,Virginia,Radical Traditional Catholicism,2015,Carrollton,36.9394,-76.5265
Inconvenient History,California,Holocaust Denial,2015,San Diego,32.8312,-117.1226
Insight USA,Florida,General Hate,2015,Longwood,28.7018,-81.3488
Institute for Historical Review,California,Holocaust Denial,2015,Fountain Valley,33.7105,-117.9514
Institute for Historical Review Store,California,Holocaust Denial,2015,Newport Beach,33.6151,-117.8669
The International Conspiratological Association,Idaho,Holocaust Denial,2015,Coeur d'Alene,47.7039,-116.7933
International Keystone Knights of the KKK,Arkansas,Ku Klux Klan,2015,Monticello,33.6258,-91.7934
International Keystone Knights of the KKK,Tennessee,Ku Klux Klan,2015,Nashville,36.1714,-86.7844
International Keystone Knights of the KKK,South Carolina,Ku Klux Klan,2015,Taylors,34.9157,-82.3124
International Keystone Knights of the KKK,Arkansas,Ku Klux Klan,2015,Vanndale,35.3134,-90.774
Invictus Books,Missouri,General Hate,2015,Wentzville,38.8164,-90.867
Irving Books,Florida,Holocaust Denial,2015,Key West,24.5636,-81.7769
ISD Records,Ohio,Hate Music,2015,Lancaster,39.7249,-82.6049
Islam: Making a True Difference in the World -- One Body at a Time,Georgia,Anti-Muslim,2015,Marietta,33.9532,-84.5421
islam: the Religion of Peace (and a big stack of dead bodies),Georgia,Anti-Muslim,2015,Marietta,33.9532,-84.5421
Israel United In Christ,Georgia,Black Nationalist,2015,Atlanta,33.7626,-84.4228
Israel United In Christ,Texas,Black Nationalist,2015,Austin,30.3006,-97.7517
Israel United In Christ,Alabama,Black Nationalist,2015,Birmingham,33.5276,-86.7988
Israel United In Christ,Massachusetts,Black Nationalist,2015,Boston,42.3188,-71.0846
Israel United In Christ,New York,Black Nationalist,2015,Bronx,40.8501,-73.8662
Israel United in Christ,North Carolina,Black Nationalist,2015,Charlotte,35.2079,-80.8303
Israel United In Christ,Illinois,Black Nationalist,2015,Chicago,41.8373,-87.6861
Israel United In Christ,Texas,Black Nationalist,2015,Corpus Christi,27.7173,-97.3822
Israel United In Christ,Texas,Black Nationalist,2015,Dallas,32.7937,-96.7662
Israel United In Christ,Colorado,Black Nationalist,2015,Denver,39.7621,-104.8759
Israel United In Christ,Michigan,Black Nationalist,2015,Detroit,42.3834,-83.1024
Israel United In Christ,Texas,Black Nationalist,2015,Houston,29.7868,-95.3905
Israel United In Christ,Kansas,Black Nationalist,2015,Kansas City,39.1234,-94.7443
Israel United In Christ,Nevada,Black Nationalist,2015,Las Vegas,36.2291,-115.2607
Israel United In Christ,Kentucky,Black Nationalist,2015,Louisville,38.1662,-85.6488
Israel United In Christ,Tennessee,Black Nationalist,2015,Memphis,35.1047,-89.9773
Israel United In Christ,Florida,Black Nationalist,2015,Miami,25.784,-80.2102
Israel United In Christ,Louisiana,Black Nationalist,2015,New Orleans,30.0687,-89.9288
Israel United In Christ,New York,Black Nationalist,2015,Newburgh,41.5037,-74.0205
Israel United in Christ,Oklahoma,Black Nationalist,2015,Oklahoma City,35.4676,-97.5136
Israel United In Christ,Florida,Black Nationalist,2015,Orlando,28.4788,-81.342
Israel United In Christ,Arizona,Black Nationalist,2015,Phoenix,33.5722,-112.0891
Israel United In Christ,Pennsylvania,Black Nationalist,2015,Pittsburgh,40.4396,-79.9763
Israel United In Christ,Virginia,Black Nationalist,2015,Richmond,37.5295,-77.4756
Israel United In Christ,Missouri,Black Nationalist,2015,Saint Louis,38.6358,-90.2451
Israel United In Christ,Texas,Black Nationalist,2015,San Antonio,29.4722,-98.5247
Israel United In Christ,Georgia,Black Nationalist,2015,Savannah,32.0282,-81.1786
Israel United In Christ,Florida,Black Nationalist,2015,Tallahassee,30.455,-84.2526
Israel United In Christ,District of Columbia,Black Nationalist,2015,Washington,38.9047,-77.0163
Israelite Church of God in Jesus Christ,Pennsylvania,Black Nationalist,2015,Philadelphia,40.0076,-75.134
The Israelite Church of God in Jesus Christ,Pennsylvania,Black Nationalist,2015,Allentown,40.5961,-75.4756
The Israelite Church of God in Jesus Christ,Maryland,Black Nationalist,2015,Baltimore,39.3051,-76.6144
The Israelite Church of God in Jesus Christ,New Jersey,Black Nationalist,2015,Camden,39.9361,-75.1073
The Israelite Church of God in Jesus Christ,North Carolina,Black Nationalist,2015,Fayetteville,35.0846,-78.9776
The Israelite Church of God in Jesus Christ,Florida,Black Nationalist,2015,Fort Myers,26.6195,-81.8302
The Israelite Church of God in Jesus Christ,Missouri,Black Nationalist,2015,Kansas City,39.1239,-94.5541
